Sheet,Cell / Range,Team,Action,Before,After,Note
PRESEASON,S16,GB,RECALCULATED — DO NOT TYPE,0.64,1.55,Effective prior
PRESEASON,T16,GB,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J17,HOU,RECALCULATED — DO NOT TYPE,(blank),1.06,SrcB centered
PRESEASON,S17,HOU,RECALCULATED — DO NOT TYPE,3.39,2.3,Effective prior
PRESEASON,T17,HOU,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J18,IND,RECALCULATED — DO NOT TYPE,(blank),-0.7,SrcB centered
PRESEASON,S18,IND,RECALCULATED — DO NOT TYPE,1.02,0.22,Effective prior
PRESEASON,T18,IND,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J19,JAX,RECALCULATED — DO NOT TYPE,(blank),0.54,SrcB centered
PRESEASON,S19,JAX,RECALCULATED — DO NOT TYPE,4.03,2.4,Effective prior
PRESEASON,T19,JAX,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J20,KC,RECALCULATED — DO NOT TYPE,(blank),2.25,SrcB centered
PRESEASON,S20,KC,RECALCULATED — DO NOT TYPE,-0.05,1.02,Effective prior
PRESEASON,T20,KC,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J21,LA,RECALCULATED — DO NOT TYPE,(blank),5.65,SrcB centered
PRESEASON,S21,LA,RECALCULATED — DO NOT TYPE,5.11,5.36,Effective prior
PRESEASON,T21,LA,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J22,LAC,RECALCULATED — DO NOT TYPE,(blank),1.68,SrcB centered
PRESEASON,S22,LAC,RECALCULATED — DO NOT TYPE,0.7,1.16,Effective prior
PRESEASON,T22,LAC,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J23,LV,RECALCULATED — DO NOT TYPE,(blank),-4.61,SrcB centered
PRESEASON,S23,LV,RECALCULATED — DO NOT TYPE,-4.4,-4.5,Effective prior
PRESEASON,T23,LV,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J24,MIA,RECALCULATED — DO NOT TYPE,(blank),-5.84,SrcB centered
PRESEASON,S24,MIA,RECALCULATED — DO NOT TYPE,-3.3,-4.49,Effective prior
PRESEASON,T24,MIA,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J25,MIN,RECALCULATED — DO NOT TYPE,(blank),-0.72,SrcB centered
PRESEASON,S25,MIN,RECALCULATED — DO NOT TYPE,0.62,-0.01,Effective prior
PRESEASON,T25,MIN,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J26,NE,RECALCULATED — DO NOT TYPE,(blank),2.23,SrcB centered
PRESEASON,S26,NE,RECALCULATED — DO NOT TYPE,2.61,2.43,Effective prior
PRESEASON,T26,NE,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J27,NO,RECALCULATED — DO NOT TYPE,(blank),-2.18,SrcB centered
PRESEASON,S27,NO,RECALCULATED — DO NOT TYPE,-1.17,-1.64,Effective prior
PRESEASON,T27,NO,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J28,NYG,RECALCULATED — DO NOT TYPE,(blank),-1.79,SrcB centered
PRESEASON,S28,NYG,RECALCULATED — DO NOT TYPE,-1.99,-1.9,Effective prior
PRESEASON,T28,NYG,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J29,NYJ,RECALCULATED — DO NOT TYPE,(blank),-5.12,SrcB centered
PRESEASON,S29,NYJ,RECALCULATED — DO NOT TYPE,-5.84,-5.5,Effective prior
PRESEASON,T29,NYJ,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J30,PHI,RECALCULATED — DO NOT TYPE,(blank),2.52,SrcB centered
PRESEASON,S30,PHI,RECALCULATED — DO NOT TYPE,1.87,2.17,Effective prior
PRESEASON,T30,PHI,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J31,PIT,RECALCULATED — DO NOT TYPE,(blank),-0.8,SrcB centered
PRESEASON,S31,PIT,RECALCULATED — DO NOT TYPE,0.82,0.06,Effective prior
PRESEASON,T31,PIT,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J32,SEA,RECALCULATED — DO NOT TYPE,(blank),4.5,SrcB centered
PRESEASON,S32,SEA,RECALCULATED — DO NOT TYPE,5.13,4.84,Effective prior
PRESEASON,T32,SEA,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J33,SF,RECALCULATED — DO NOT TYPE,(blank),3.21,SrcB centered
PRESEASON,S33,SF,RECALCULATED — DO NOT TYPE,2.22,2.68,Effective prior
PRESEASON,T33,SF,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J34,TB,RECALCULATED — DO NOT TYPE,(blank),-0.5,SrcB centered
PRESEASON,S34,TB,RECALCULATED — DO NOT TYPE,-0.6,-0.55,Effective prior
PRESEASON,T34,TB,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J35,TEN,RECALCULATED — DO NOT TYPE,(blank),-3.78,SrcB centered
PRESEASON,S35,TEN,RECALCULATED — DO NOT TYPE,-3.93,-3.86,Effective prior
PRESEASON,T35,TEN,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J36,WAS,RECALCULATED — DO NOT TYPE,(blank),-1.22,SrcB centered
PRESEASON,S36,WAS,RECALCULATED — DO NOT TYPE,-2.53,-1.92,Effective prior
PRESEASON,T36,WAS,RECALCULATED — DO NOT TYPE,1,2,Sources used
TEAM RATINGS,F5,ARI,RECALCULATED — DO NOT TYPE,-2.59,-4.16,Preseason prior
TEAM RATINGS,H5,ARI,RECALCULATED — DO NOT TYPE,-2.07,-4.16,Blended base
TEAM RATINGS,J5,ARI,RECALCULATED — DO NOT TYPE,-2.07,-4.16,EFFECTIVE RATING
TEAM RATINGS,K5,ARI,RECALCULATED — DO NOT TYPE,26,29,Rank
TEAM RATINGS,F6,ATL,RECALCULATED — DO NOT TYPE,-0.08,-1.06,Preseason prior
TEAM RATINGS,H6,ATL,RECALCULATED — DO NOT TYPE,-0.06,-1.06,Blended base
TEAM RATINGS,J6,ATL,RECALCULATED — DO NOT TYPE,-0.06,-1.06,EFFECTIVE RATING
TEAM RATINGS,K6,ATL,RECALCULATED — DO NOT TYPE,19,21,Rank
TEAM RATINGS,F7,BAL,RECALCULATED — DO NOT TYPE,1.15,2.46,Preseason prior
TEAM RATINGS,H7,BAL,RECALCULATED — DO NOT TYPE,0.92,2.46,Blended base
TEAM RATINGS,J7,BAL,RECALCULATED — DO NOT TYPE,0.92,2.46,EFFECTIVE RATING
TEAM RATINGS,K7,BAL,RECALCULATED — DO NOT TYPE,10,5,Rank
TEAM RATINGS,F8,BUF,RECALCULATED — DO NOT TYPE,2.19,3.17,Preseason prior
TEAM RATINGS,H8,BUF,RECALCULATED — DO NOT TYPE,1.75,3.17,Blended base
TEAM RATINGS,J8,BUF,RECALCULATED — DO NOT TYPE,1.75,3.17,EFFECTIVE RATING
TEAM RATINGS,K8,BUF,RECALCULATED — DO NOT TYPE,8,3,Rank
TEAM RATINGS,F9,CAR,RECALCULATED — DO NOT TYPE,-1.62,-2.02,Preseason prior
TEAM RATINGS,H9,CAR,RECALCULATED — DO NOT TYPE,-1.3,-2.02,Blended base
TEAM RATINGS,J9,CAR,RECALCULATED — DO NOT TYPE,-1.3,-2.02,EFFECTIVE RATING
TEAM RATINGS,K9,CAR,RECALCULATED — DO NOT TYPE,22,26,Rank
TEAM RATINGS,F10,CHI,RECALCULATED — DO NOT TYPE,1.07,1.28,Preseason prior
TEAM RATINGS,H10,CHI,RECALCULATED — DO NOT TYPE,0.86,1.28,Blended base
TEAM RATINGS,J10,CHI,RECALCULATED — DO NOT TYPE,0.86,1.28,EFFECTIVE RATING
TEAM RATINGS,K10,CHI,RECALCULATED — DO NOT TYPE,11,13,Rank
TEAM RATINGS,F11,CIN,RECALCULATED — DO NOT TYPE,-1.91,-0.6,Preseason prior
TEAM RATINGS,H11,CIN,RECALCULATED — DO NOT TYPE,-1.53,-0.6,Blended base
TEAM RATINGS,J11,CIN,RECALCULATED — DO NOT TYPE,-1.53,-0.6,EFFECTIVE RATING
TEAM RATINGS,K11,CIN,RECALCULATED — DO NOT TYPE,23,20,Rank
TEAM RATINGS,F12,CLE,RECALCULATED — DO NOT TYPE,-3.25,-3.8,Preseason prior
TEAM RATINGS,H12,CLE,RECALCULATED — DO NOT TYPE,-2.6,-3.8,Blended base
TEAM RATINGS,J12,CLE,RECALCULATED — DO NOT TYPE,-2.6,-3.8,EFFECTIVE RATING
TEAM RATINGS,K12,CLE,RECALCULATED — DO NOT TYPE,28,27,Rank
TEAM RATINGS,F13,DAL,RECALCULATED — DO NOT TYPE,-2.82,-1.07,Preseason prior
TEAM RATINGS,H13,DAL,RECALCULATED — DO NOT TYPE,-2.26,-1.07,Blended base
TEAM RATINGS,J13,DAL,RECALCULATED — DO NOT TYPE,-2.26,-1.07,EFFECTIVE RATING
TEAM RATINGS,K13,DAL,RECALCULATED — DO NOT TYPE,27,22,Rank
TEAM RATINGS,F14,DEN,RECALCULATED — DO NOT TYPE,2.41,2.32,Preseason prior
TEAM RATINGS,H14,DEN,RECALCULATED — DO NOT TYPE,1.93,2.32,Blended base
TEAM RATINGS,J14,DEN,RECALCULATED — DO NOT TYPE,1.93,2.32,EFFECTIVE RATING
TEAM RATINGS,K14,DEN,RECALCULATED — DO NOT TYPE,6,8,Rank
TEAM RATINGS,F15,DET,RECALCULATED — DO NOT TYPE,1.07,1.64,Preseason prior
TEAM RATINGS,H15,DET,RECALCULATED — DO NOT TYPE,0.86,1.64,Blended base
TEAM RATINGS,J15,DET,RECALCULATED — DO NOT TYPE,0.86,1.64,EFFECTIVE RATING
TEAM RATINGS,K15,DET,RECALCULATED — DO NOT TYPE,11,11,Rank
TEAM RATINGS,F16,GB,RECALCULATED — DO NOT TYPE,0.64,1.55,Preseason prior
TEAM RATINGS,H16,GB,RECALCULATED — DO NOT TYPE,0.51,1.55,Blended base
TEAM RATINGS,J16,GB,RECALCULATED — DO NOT TYPE,0.51,1.55,EFFECTIVE RATING
TEAM RATINGS,K16,GB,RECALCULATED — DO NOT TYPE,16,12,Rank
TEAM RATINGS,F17,HOU,RECALCULATED — DO NOT TYPE,3.39,2.3,Preseason prior
TEAM RATINGS,H17,HOU,RECALCULATED — DO NOT TYPE,2.71,2.3,Blended base
TEAM RATINGS,J17,HOU,RECALCULATED — DO NOT TYPE,2.71,2.3,EFFECTIVE RATING
TEAM RATINGS,K17,HOU,RECALCULATED — DO NOT TYPE,4,9,Rank
TEAM RATINGS,F18,IND,RECALCULATED — DO NOT TYPE,1.02,0.22,Preseason prior
TEAM RATINGS,H18,IND,RECALCULATED — DO NOT TYPE,0.82,0.22,Blended base
TEAM RATINGS,J18,IND,RECALCULATED — DO NOT TYPE,0.82,0.22,EFFECTIVE RATING
TEAM RATINGS,K18,IND,RECALCULATED — DO NOT TYPE,13,16,Rank
TEAM RATINGS,F19,JAX,RECALCULATED — DO NOT TYPE,4.03,2.4,Preseason prior
TEAM RATINGS,H19,JAX,RECALCULATED — DO NOT TYPE,3.22,2.4,Blended base
TEAM RATINGS,J19,JAX,RECALCULATED — DO NOT TYPE,3.22,2.4,EFFECTIVE RATING
TEAM RATINGS,K19,JAX,RECALCULATED — DO NOT TYPE,3,7,Rank
TEAM RATINGS,F20,KC,RECALCULATED — DO NOT TYPE,-0.05,1.02,Preseason prior
TEAM RATINGS,H20,KC,RECALCULATED — DO NOT TYPE,-0.04,1.02,Blended base
TEAM RATINGS,J20,KC,RECALCULATED — DO NOT TYPE,-0.04,1.02,EFFECTIVE RATING
TEAM RATINGS,K20,KC,RECALCULATED — DO NOT TYPE,18,15,Rank
TEAM RATINGS,F21,LA,RECALCULATED — DO NOT TYPE,5.11,5.36,Preseason prior
TEAM RATINGS,H21,LA,RECALCULATED — DO NOT TYPE,4.09,5.36,Blended base
TEAM RATINGS,J21,LA,RECALCULATED — DO NOT TYPE,4.09,5.36,EFFECTIVE RATING
TEAM RATINGS,K21,LA,RECALCULATED — DO NOT TYPE,2,1,Rank
TEAM RATINGS,F22,LAC,RECALCULATED — DO NOT TYPE,0.7,1.16,Preseason prior
TEAM RATINGS,H22,LAC,RECALCULATED — DO NOT TYPE,0.56,1.16,Blended base
TEAM RATINGS,J22,LAC,RECALCULATED — DO NOT TYPE,0.56,1.16,EFFECTIVE RATING
TEAM RATINGS,K22,LAC,RECALCULATED — DO NOT TYPE,15,14,Rank
TEAM RATINGS,F23,LV,RECALCULATED — DO NOT TYPE,-4.4,-4.5,Preseason prior
TEAM RATINGS,H23,LV,RECALCULATED — DO NOT TYPE,-3.52,-4.5,Blended base
TEAM RATINGS,J23,LV,RECALCULATED — DO NOT TYPE,-3.52,-4.5,EFFECTIVE RATING
TEAM RATINGS,K23,LV,RECALCULATED — DO NOT TYPE,31,31,Rank
TEAM RATINGS,F24,MIA,RECALCULATED — DO NOT TYPE,-3.3,-4.49,Preseason prior
TEAM RATINGS,H24,MIA,RECALCULATED — DO NOT TYPE,-2.64,-4.49,Blended base
TEAM RATINGS,J24,MIA,RECALCULATED — DO NOT TYPE,-2.64,-4.49,EFFECTIVE RATING
TEAM RATINGS,K24,MIA,RECALCULATED — DO NOT TYPE,29,30,Rank
TEAM RATINGS,F25,MIN,RECALCULATED — DO NOT TYPE,0.62,-0.01,Preseason prior
TEAM RATINGS,H25,MIN,RECALCULATED — DO NOT TYPE,0.5,-0.01,Blended base
TEAM RATINGS,J25,MIN,RECALCULATED — DO NOT TYPE,0.5,-0.01,EFFECTIVE RATING
TEAM RATINGS,K25,MIN,RECALCULATED — DO NOT TYPE,17,18,Rank
TEAM RATINGS,F26,NE,RECALCULATED — DO NOT TYPE,2.61,2.43,Preseason prior
TEAM RATINGS,H26,NE,RECALCULATED — DO NOT TYPE,2.09,2.43,Blended base
TEAM RATINGS,J26,NE,RECALCULATED — DO NOT TYPE,2.09,2.43,EFFECTIVE RATING
TEAM RATINGS,K26,NE,RECALCULATED — DO NOT TYPE,5,6,Rank
TEAM RATINGS,F27,NO,RECALCULATED — DO NOT TYPE,-1.17,-1.64,Preseason prior
TEAM RATINGS,H27,NO,RECALCULATED — DO NOT TYPE,-0.94,-1.64,Blended base
TEAM RATINGS,J27,NO,RECALCULATED — DO NOT TYPE,-0.94,-1.64,EFFECTIVE RATING
TEAM RATINGS,K27,NO,RECALCULATED — DO NOT TYPE,21,23,Rank
TEAM RATINGS,F28,NYG,RECALCULATED — DO NOT TYPE,-1.99,-1.9,Preseason prior
TEAM RATINGS,H28,NYG,RECALCULATED — DO NOT TYPE,-1.59,-1.9,Blended base
TEAM RATINGS,J28,NYG,RECALCULATED — DO NOT TYPE,-1.59,-1.9,EFFECTIVE RATING
TEAM RATINGS,K28,NYG,RECALCULATED — DO NOT TYPE,24,24,Rank
TEAM RATINGS,F29,NYJ,RECALCULATED — DO NOT TYPE,-5.84,-5.5,Preseason prior
TEAM RATINGS,H29,NYJ,RECALCULATED — DO NOT TYPE,-4.67,-5.5,Blended base
TEAM RATINGS,J29,NYJ,RECALCULATED — DO NOT TYPE,-4.67,-5.5,EFFECTIVE RATING
TEAM RATINGS,K29,NYJ,RECALCULATED — DO NOT TYPE,32,32,Rank
TEAM RATINGS,F30,PHI,RECALCULATED — DO NOT TYPE,1.87,2.17,Preseason prior
TEAM RATINGS,H30,PHI,RECALCULATED — DO NOT TYPE,1.5,2.17,Blended base
TEAM RATINGS,J30,PHI,RECALCULATED — DO NOT TYPE,1.5,2.17,EFFECTIVE RATING
TEAM RATINGS,K30,PHI,RECALCULATED — DO NOT TYPE,9,10,Rank
TEAM RATINGS,F31,PIT,RECALCULATED — DO NOT TYPE,0.82,0.06,Preseason prior
TEAM RATINGS,H31,PIT,RECALCULATED — DO NOT TYPE,0.66,0.06,Blended base
TEAM RATINGS,J31,PIT,RECALCULATED — DO NOT TYPE,0.66,0.06,EFFECTIVE RATING
TEAM RATINGS,K31,PIT,RECALCULATED — DO NOT TYPE,14,17,Rank
TEAM RATINGS,F32,SEA,RECALCULATED — DO NOT TYPE,5.13,4.84,Preseason prior
TEAM RATINGS,H32,SEA,RECALCULATED — DO NOT TYPE,4.1,4.84,Blended base
TEAM RATINGS,J32,SEA,RECALCULATED — DO NOT TYPE,4.1,4.84,EFFECTIVE RATING
TEAM RATINGS,K32,SEA,RECALCULATED — DO NOT TYPE,1,2,Rank
TEAM RATINGS,F33,SF,RECALCULATED — DO NOT TYPE,2.22,2.68,Preseason prior
TEAM RATINGS,H33,SF,RECALCULATED — DO NOT TYPE,1.78,2.68,Blended base
TEAM RATINGS,J33,SF,RECALCULATED — DO NOT TYPE,1.78,2.68,EFFECTIVE RATING
TEAM RATINGS,K33,SF,RECALCULATED — DO NOT TYPE,7,4,Rank
TEAM RATINGS,F34,TB,RECALCULATED — DO NOT TYPE,-0.6,-0.55,Preseason prior
TEAM RATINGS,H34,TB,RECALCULATED — DO NOT TYPE,-0.48,-0.55,Blended base
TEAM RATINGS,J34,TB,RECALCULATED — DO NOT TYPE,-0.48,-0.55,EFFECTIVE RATING
TEAM RATINGS,K34,TB,RECALCULATED — DO NOT TYPE,20,19,Rank
TEAM RATINGS,F35,TEN,RECALCULATED — DO NOT TYPE,-3.93,-3.86,Preseason prior
TEAM RATINGS,H35,TEN,RECALCULATED — DO NOT TYPE,-3.14,-3.86,Blended base
TEAM RATINGS,J35,TEN,RECALCULATED — DO NOT TYPE,-3.14,-3.86,EFFECTIVE RATING
TEAM RATINGS,K35,TEN,RECALCULATED — DO NOT TYPE,30,28,Rank
TEAM RATINGS,F36,WAS,RECALCULATED — DO NOT TYPE,-2.53,-1.92,Preseason prior
TEAM RATINGS,H36,WAS,RECALCULATED — DO NOT TYPE,-2.02,-1.92,Blended base
TEAM RATINGS,J36,WAS,RECALCULATED — DO NOT TYPE,-2.02,-1.92,EFFECTIVE RATING
TEAM RATINGS,K36,WAS,RECALCULATED — DO NOT TYPE,25,25,Rank
TEAM RATINGS,D5:D36,all,RECALCULATED — DO NOT TYPE,0 (coerced),(blank),In-season governed rating at GP=0
ENGINE / DASHBOARD,all Week-1 rows,all,RECALCULATED — DO NOT TYPE,see slate CSV 'Baseline edge',see slate CSV 'SpreadEdge',16 games; recomputed from the new effective ratings
